date,symbol,open,high,low,close
2020-06-09,BTC,9737.4574466497,9803.5735159591,9652.3101139661,9791.9278997681
2020-06-09,BTC,9782.00000000,9877.00000000,9570.00000000,9772.43000000
2020-06-10,BTC,9772.44000000,9992.72000000,9704.18000000,9885.00000000
2020-06-10,BTC,9790.073884068,9870.5193874417,9610.0243540348,9786.1420204782
2020-06-11,BTC,9885.22000000,9964.00000000,9113.00000000,9280.40000000
2020-06-11,BTC,9787.914130709,9979.7155257569,9711.8595804282,9874.967047524
2020-06-12,BTC,9278.88000000,9557.12000000,9232.51000000,9465.13000000
2020-06-12,BTC,9875.0142135212,9962.1803308167,9108.4730458288,9260.8326409877
2020-06-13,BTC,9464.96000000,9494.73000000,9351.00000000,9473.34000000
2020-06-13,BTC,9261.4814437625,9558.7706017956,9238.3891810973,9464.2280968215
2020-06-14,BTC,9464.0860788641,9492.8998835231,9359.8470466204,9458.6597544046
2020-06-14,BTC,9473.34000000,9480.99000000,9245.00000000,9342.10000000
2020-06-15,BTC,9342.10000000,9495.00000000,8910.45000000,9426.02000000
2020-06-15,BTC,9458.6597530336,9481.6974527721,9250.0324075518,9351.9537280097
2020-06-16,BTC,9351.6054773864,9498.609998889,8910.1982654435,9441.7689955465
2020-06-16,BTC,9426.05000000,9589.00000000,9373.09000000,9525.59000000
2020-06-17,BTC,9526.97000000,9565.00000000,9236.61000000,9465.14000000
2020-06-17,BTC,9442.0169879651,9595.2229348834,9380.7460796455,9510.6606372934
2020-06-18,BTC,9510.6412664837,9557.4684199857,9240.6460560184,9457.6270744096
2020-06-18,BTC,9465.13000000,9489.00000000,9280.00000000,9386.32000000
2020-06-19,BTC,9386.32000000,9438.30000000,9215.79000000,9310.23000000
2020-06-19,BTC,9457.4648370114,9480.3744873948,9276.4270939835,9398.6420936216
2020-06-20,BTC,9398.6856028871,9427.1776609648,9236.6572719404,9279.7607651662
2020-06-20,BTC,9310.23000000,9395.00000000,9170.95000000,9358.95000000
2020-06-21,BTC,9358.95000000,9422.00000000,9281.54000000,9294.69000000
2020-06-21,BTC,9278.4691460412,9391.0250942378,9178.3822794606,9353.0781961865
2020-06-22,BTC,9294.69000000,9780.00000000,9277.09000000,9685.69000000
2020-06-22,BTC,9353.0781871345,9412.6485046188,9278.9232260848,9289.104491444
2020-06-23,BTC,9288.603159701,9775.102839222,9272.796157314,9680.9471278957
2020-06-23,BTC,9685.69000000,9720.00000000,9577.03000000,9624.89000000
2020-06-24,BTC,9680.9471289833,9720.7652405271,9576.910847921,9609.6802455253
2020-06-24,BTC,9624.33000000,9670.00000000,9208.00000000,9296.49000000
2020-06-25,BTC,9298.33000000,9340.00000000,9009.69000000,9249.49000000
2020-06-25,BTC,9609.680245524,9678.9860797608,9206.9588946905,9311.1363183171
2020-06-26,BTC,9249.49000000,9298.00000000,9045.45000000,9162.21000000
